16	16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	3	5	20	70	80	32	10	0	0	0	0	0
0	0	1	5	10	20	40	80	90	50	25	15	9	1	0	0
0	1	5	20	30	40	55	89	110	60	58	34	25	12	1	0
0	2	10	25	30	45	60	99	120	55	53	48	20	13	2	0
0	6	12	46	70	75	80	90	100	90	85	75	60	50	5	0
0	8	14	55	75	80	95	100	100	100	95	85	55	45	5	0
0	10	25	45	80	85	90	100	100	100	99	88	54	63	10	0	
0	20	30	40	80	83	93	99	100	99	80	78	60	45	20	0
0	11	5	26	70	79	88	96	100	99	79	78	50	35	2	0
0	2	10	22	30	45	60	99	110	55	53	48	20	13	2	0
0	0	0	0	3	5	20	70	80	32	10	0	0	0	0	0
0	0	1	5	10	20	40	80	90	50	25	15	9	1	0	0
0	0	0	0	3	5	20	70	80	32	10	0	0	0	0	0
0	0	1	5	10	20	40	80	90	50	25	15	9	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
